safe,card_currency,recipient_address,recipient_label,recipient_class,asset,amount_out,usd_out,n_transfers,first_blk,last_blk,balance_before,balance_now,usd_balance_now
0x159f1762cc552e0d5f1280c7dbedc33864d192a0,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.090503804185583,125.36,1,46477406,46477406,1.0799254599640693,0.0,0.0
0x3266c0df1bee341695499840304a6459e29282fe,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0889838465077861,125.18,1,46477499,46477499,1.0889838465077861,0.0,0.0
0x7c974eeebc8c3a730ef954d4748a1001ba0fac34,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0887345774935546,125.16,1,46477498,46477498,1.0887345774935546,0.0,0.0
0xf0f84f178a3a1391d8e4663613b7bb5364aeef04,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,EURe,107.30926931922532,125.11,1,46475352,46475352,107.30926931922532,0.0,0.0
0x746fbec5257f2ddcb649f3d0846b4d7ffec05ad2,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,EURe,107.20052549286211,124.98,1,46477491,46477491,107.2005254928621,0.0,0.0
0xe086c4fd26dbe49bd20001decf6760b8a66cc5e5,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.086978222143047,124.95,1,46477468,46477468,1.0728745163232547,0.0,0.0
0xfc87a4e751fb838fc01faea8d1565ee3639eb5e8,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,124.949656,124.95,1,46477496,46477496,124.949656,0.0,0.0
0x03393d74f461391d357b55b20effcda0c4c87cc0,GBPe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.085699297896674,124.81,1,46477481,46477481,1.077626594717518,0.0,0.0
0x038f482251f46e401e9cef0194b332c17d8a7360,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0844931638996147,124.67,1,46477498,46477498,1.0844931638996147,0.0,0.0
0xccf9d021fe5141ec9b804078e01854fcbd183e3c,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,124.591027,124.59,1,46477498,46477498,157.082012,0.0,0.0
0xa1efdff60735736a2bf40272cc63a868ec2a671a,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0833435773398428,124.54,1,46477505,46477505,1.0833435773398428,0.0,0.0
0xde27a5ead3d4910fb95cc6bcd1d1e8ccc2f33a8a,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,EURe,106.78187030860637,124.49,1,46477496,46477496,106.78187030860639,0.0,0.0
0x2bd0986f864da6f1bf8dd823d7fbd72add2d0ad3,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,EURe,106.74,124.44,1,46477481,46477481,299.15,0.0,0.0
0x177574b677a63cac634bc3cf46d6fa74a487272c,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,124.375592,124.38,1,46477498,46477498,124.375592,0.0,0.0
0xdbff16cd79e0e8fe6d221567be9f5080350a9f4d,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,EURe,106.28643505203922,123.92,1,46477374,46477374,198.47643505203922,0.0,0.0
0xc0ae28a3805354cd66612f6b352334c52975e801,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,123.827462,123.83,1,46477498,46477498,123.827462,0.0,0.0
0x24b73f1632acb24b40d6c1a156702f0e4f137d3a,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,EURe,106.19,123.8,1,46477498,46477498,106.19,0.0,0.0
0x1f2567b151bbe27abbda40d71782c0398212f159,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0763792275384256,123.74,1,46477425,46477425,1.047954122955033,0.0,0.0
0x650395f73188c1552f31a6f89248432a74fb8cbc,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0751794911380168,123.6,1,46477443,46477443,1.0327027016877453,0.0,0.0
0x5a0a6fc71a22f013b5169b61e93382c573fb9344,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0752386486775538,123.6,1,46477495,46477495,1.075238648677554,0.0,0.0
0x32bb0cbd9841c8b38857f35d31654494edda8952,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0729087202268819,123.34,1,46477499,46477499,1.1429087202268817,0.0,0.0
0xf684b73f5284604842db4e3bb9d6af84691f16d0,GBPe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0715044137525507,123.18,1,46477428,46477428,1.0214324107556592,0.0,0.0
0x4b4c6ce001d6a5d20bedbcde34fe53b0e4d8c85a,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0708411975216219,123.1,1,46477481,46477481,1.0708411975216219,0.0,0.0
0x8f8f4be643d0d6eb93f6b2ed0802dd8d5f054892,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,123.072965,123.07,1,46477498,46477498,4.252965,0.0,0.0
0xb3d14a84d7e9477d82f144756aaa7bdc72868b79,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0704554901805843,123.05,1,46477498,46477498,1.0704554901805843,0.0,0.0
0x2e724bc791205fff86c79d680e45463f524d2a2c,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,122.958764,122.96,1,46477498,46477498,122.958764,0.0,0.0
0x1f064799b031b6696a8233e6a17352f37ae4a48e,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0688809543339428,122.87,1,46477499,46477499,1.0688809543339428,0.0,0.0
0xad0181b7add37437511a6be1ebd86084a5bd97d9,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0687386139471056,122.86,1,46477473,46477473,1.0063019921519216,0.0,0.0
0x3aeb9f74bbc0f6e7f4943f5b94bab72f136d823b,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,122.749123,122.75,1,46477424,46477424,122.749123,0.0,0.0
0x6cf17c56bba4df9d45a2a2bf4b16dceaf8ce7e91,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,122.663699,122.66,1,46477498,46477498,122.663699,0.0,0.0
0xdd836a51660c8df3d82f0119c28b9504bc0d9d04,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0664949977906992,122.6,1,46477499,46477499,1.0664949977906992,0.0,0.0
0x5e046dd7cd8159428c71b71c030e1649c83f15d1,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.065780808091188,122.52,1,46475357,46475357,1.065780808091188,0.0,0.0
0x77667ff5ab29a5958e55894a5081f06058b6adfc,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,122.411128,122.41,1,46477498,46477498,122.411128,0.0,0.0
0xdca311a130ed96ff6f37e216172e1836881a0765,GBPe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0635338570460955,122.26,1,46477496,46477496,1.0635338570460955,0.0,0.0
0x170173ad92cd4e7c6ed76a9d61a01d6d0620de59,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.0588166551231009,121.72,1,46477407,46477407,1.0277971444846694,0.0,0.0
0x778d7e6e04ab4ef915ce3449032bfa03cc516e24,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,121.718667,121.72,1,46477498,46477498,121.718667,0.0,0.0
